assetName	diseaseName	level	group	description	patientDialogue	askSymptoms	pulseSymptoms	correctHerbs	requiredHerbs
CamMaoPhongHan	Cảm mạo phong hàn	1	HoHap	Phong hàn xâm nhập phần biểu, làm vệ khí bị bế tắc và phế khí mất tuyên thông.	Thưa thầy, tôi bị sợ lạnh, đau đầu, người gai rét, nước mũi cứ chảy trong.	Sợ lạnh, người gai rét.|Đau đầu, chảy nước mũi trong.	Không ra mồ hôi.	Sinh khương|Tía tô|Cam thảo	Sinh khương:6|Tía tô:4|Cam thảo:2
TitMuiTyTac	Tịt mũi (Tỵ tắc)	1	HoHap	Tỵ khiếu bị bế tắc do phong tà, thấp trệ hoặc khí cơ không thông ở vùng mũi.	Thưa thầy, hai lỗ mũi tôi ngạt cứng không thở nổi, ngửi mùi thức ăn chẳng thấy gì.	Ngạt mũi liên tục.|Không ngửi thấy mùi.	Dịch mũi chảy xuống họng.	Bạc hà|Kinh giới|Phòng phong	Bạc hà:6|Kinh giới:4|Phòng phong:2
ViThongThucTich	Vị thống (Thực tích)	1	TieuHoa	Thức ăn đình trệ trong vị quản, làm vị khí không thông và gây đau do thực tích.	Hôm qua ăn tiệc no quá, giờ bụng tôi đau cứng lại, ấn vào đau không chịu nổi, nôn ra mùi chua khú.	Đau bụng sau ăn no.|Ấn vào đau tăng (cự án).	Ợ mùi thức ăn chua khú.	Sơn tra|Thần khúc|Mạch nha	Sơn tra:6|Thần khúc:4|Mạch nha:2
TyUyenViemXoang	Tỵ uyên (Viêm xoang)	1	HoHap	Phong nhiệt hoặc thấp nhiệt uất lại ở tỵ khiếu, làm dịch mũi hóa trọc và ứ tắc.	Cái mũi tôi chảy dịch đặc hôi thối kinh khủng, vùng trán với hai gò má đau nhức nhối, đầu nặng trịch.	Chảy nước mũi đặc hôi thối.|Đau nhức nhối vùng trán và gò má.	Đầu óc nặng nề u tối.	Kinh giới|Phòng phong|Bạc hà	Kinh giới:6|Phòng phong:4|Bạc hà:2
CamMaoPhongNhiet	Cảm mạo phong nhiệt	1	HoHap	Phong nhiệt phạm biểu, nhiệt tà quấy phế khiến vệ khí mất điều hòa.	Thưa thầy, tôi sốt nhiều, cổ họng khô đau, nước mũi đặc vàng.	Phát sốt rõ rệt.|Họng khô đau.	Nước mũi đặc vàng.	Kim ngân hoa|Liên kiều|Cam thảo	Kim ngân hoa:6|Liên kiều:4|Cam thảo:2
KhaiThauPhongHan	Khái thấu phong hàn	1	HoHap	Phong hàn phạm phế, phế khí bị bế tắc nên không tuyên giáng được bình thường.	Tôi bị ho liên tục, tiếng ho nặng nề, khạc ra đờm lỏng trắng dính, người sợ lạnh.	Ho tiếng nặng.|Sợ lạnh.	Đờm lỏng trắng loãng.|Ngạt mũi.	Tía tô|Bách bộ|Sinh khương	Tía tô:6|Bách bộ:4|Sinh khương:2
AuThoNonMua	Ẩu thổ (Nôn mửa)	1	TieuHoa	Vị khí nghịch lên do hàn, đàm thấp hoặc thức ăn đình trệ trong trung tiêu.	Bụng dạ tôi cồn cào, cứ ăn thứ gì vào là dạ dày co thắt, nôn thốc nôn tháo ra hết.	Bụng dạ cồn cào.|Ăn vào là nôn.	Dạ dày co thắt.|Nôn ra thức ăn.	Sinh khương|Bán hạ chế|Trần bì	Sinh khương:6|Bán hạ chế:4|Trần bì:2
AchNghichAnNac	Ách nghịch (Nấc cụt)	1	TieuHoa	Vị khí nghịch lên, khí cơ vùng cách bị rối loạn gây ách nghịch.	Thầy ơi cứu tôi, tôi bị nấc cụt liên tục từ tối qua, tiếng nấc cứ giật từ họng ra không kìm được.	Nấc cụt liên tục.|Không kìm được nấc.	Cơ hoành co thắt bứt rứt.	Sinh khương|Trần bì|Hương phụ	Sinh khương:6|Trần bì:4|Hương phụ:2
TietTaHanThap	Tiết tả hàn thấp	1	TieuHoa	Hàn thấp xâm phạm tỳ vị, làm vận hóa suy yếu và thủy thấp tràn xuống đại trường.	Thưa thầy, bụng tôi đau quặn, đi ngoài phân lỏng, chườm ấm thì dễ chịu hơn.	Tiêu chảy, phân lỏng.|Bụng đau quặn, sôi bụng.	Thích chườm ấm.	Sinh khương|Trần bì|Bạch truật	Sinh khương:6|Trần bì:4|Bạch truật:2
NapNgocChanAn	Nạp ngốc (Chán ăn)	1	TieuHoa	Tỳ vị vận hóa kém, vị khí không hòa khiến ăn uống giảm và bụng đầy trệ.	Chẳng hiểu sao dạo này tôi nhìn thức ăn là sợ, miệng nhạt nhẽo, bụng cứ trướng lên không đói.	Nhìn thức ăn là sợ.|Miệng nhạt nhẽo.	Bụng trướng không đói.	Bạch truật|Hoài sơn|Mạch nha	Bạch truật:6|Hoài sơn:4|Mạch nha:2
CamMaoThuThap	Cảm mạo thử thấp	2	HoHap	Thử nhiệt kèm thấp tà phạm biểu lý, làm khí cơ nặng nề và trung tiêu bị trở trệ.	Thưa thầy, đi nắng về tôi bị sốt, đầu đau váng vất, ngực bụng đầy ách mệt mỏi.	Sốt cao mùa hè.|Mệt mỏi nặng nề.	Ngực bụng đầy trướng.|Đau váng đầu.	Bạc hà|Hương phụ|Trần bì|Cam thảo	Bạc hà:6|Hương phụ:5|Trần bì:3|Cam thảo:2
KhaiThauPhongNhiet	Khái thấu phong nhiệt	2	HoHap	Phong nhiệt phạm phế, phế mất tuyên giáng và tân dịch bị nhiệt nung thành đờm.	Tôi ho sù sụ suốt ngày, họng đau rát hết cả cổ, khạc đờm thì đặc quánh màu vàng.	Ho khàn tiếng.|Họng đau rát.	Đờm đặc vàng.|Miệng khát.	Tang bạch bì|Cát cánh|Cam thảo|Bạc hà	Tang bạch bì:6|Cát cánh:5|Cam thảo:3|Bạc hà:2
TruongMan	Trướng mãn	2	TieuHoa	Khí trệ và thấp tích làm trung tiêu bế tắc, bụng đầy trướng khó thông.	Bụng tôi to phình ra như cái trống, gõ vào bôm bốp, nếu đánh rắm được thì mới nhẹ người.	Bụng phình to như trống.|Ấm ách khó chịu.	Gõ bụng kêu bôm bốp.|Trung tiện thì đỡ.	Trần bì|Chỉ thực|Hậu phác|Bạch truật	Trần bì:6|Chỉ thực:5|Hậu phác:3|Bạch truật:2
KhauSangNhietMien	Khẩu sang (Nhiệt miệng)	2	TieuHoa	Tâm vị tích nhiệt bốc lên miệng lưỡi, làm niêm mạc bị nung đốt sinh loét.	Trong má với đầu lưỡi của tôi mọc mấy vết loét đỏ to bằng hạt đậu, ăn đồ mặn rát xót phát khóc.	Miệng lưỡi loét đỏ.|Đau rát khi ăn.	Niêm mạc sưng rộp.	Chi tử|Liên tâm|Cam thảo|Bạch thược	Chi tử:6|Liên tâm:5|Cam thảo:3|Bạch thược:2
HoiTrungChungGiun	Hồi trùng chứng (Giun đũa)	2	TieuHoa	Trùng tích quấy nhiễu đường ruột, làm khí cơ tỳ vị rối loạn và đau quanh rốn.	Thưa thầy, tôi hay đau bụng quặn quanh rốn, đêm ngủ còn nghiến răng kèn kẹt, trên mặt cứ có mấy vết trắng.	Đau quặn quanh rốn.|Đêm ngủ nghiến răng.	Thích ăn gạo sống.|Mặt có vết trắng.	Sử quân tử|Binh lang|Cam thảo|Trần bì	Sử quân tử:6|Binh lang:5|Cam thảo:3|Trần bì:2
DauThongNgoaiCam	Đầu thống (Ngoại cảm)	2	TamMach	Phong hàn hoặc phong tà xâm nhập kinh lạc vùng đầu, làm khí huyết không thông gây đau.	Hôm qua đi mưa về xong đầu tôi đau như búa bổ, đau giật lên thái dương theo từng cơn, sợ gió lắm.	Đau đầu như búa bổ.|Đau giật thái dương.	Sợ gió lạnh.	Kinh giới|Phòng phong|Xuyên khung|Bạc hà	Kinh giới:6|Phòng phong:5|Xuyên khung:3|Bạc hà:2
TuHan	Tự hãn	2	TamMach	Vệ khí bất cố, biểu không kín khiến tân dịch thoát ra ngoài thành tự hãn.	Tôi ngồi mát không làm gì nặng mà mồ hôi cứ tự vã ra đầm đìa ướt sũng áo, người mệt hụt hơi.	Tự ra mồ hôi ban ngày.|Ướt sũng áo.	Người mệt hụt hơi.	Đảng sâm|Bạch truật|Cam thảo|Hoài sơn	Đảng sâm:6|Bạch truật:5|Cam thảo:3|Hoài sơn:2
BienChiChaiChan	Biền chi (Chai chân)	2	NgoaiKhoa	Da thịt bị ma sát lâu ngày, khí huyết cục bộ kém lưu thông sinh lớp sừng dày cứng.	Lòng bàn chân tôi nổi lên mấy cục da dày cứng ngắc, vàng nhạt, mỗi lần giẫm chân xuống đất đau nhói.	Da lòng bàn chân dày cứng.|Ấn vào đau nhói.	Cục sừng vàng nhạt.	Thổ phục linh|Đương quy|Uất kim|Bạch thược	Thổ phục linh:6|Đương quy:5|Uất kim:3|Bạch thược:2
ViThongTyViHuHan	Vị thống (Tỳ vị hư hàn)	2	TieuHoa	Tỳ vị dương hư, hàn tà lưu ở vị quản làm khí huyết vận hành chậm và sinh đau âm ỉ.	Cái bụng vùng trên rốn của tôi nó cứ đau âm ỉ suốt mấy tháng nay, hễ gặp lạnh là đau quặn lên.	Đau thượng vị âm ỉ.|Gặp lạnh đau tăng.	Chườm ấm thì đỡ.|Ăn vào thấy êm bụng.	Bạch truật|Can khương|Cam thảo|Đảng sâm	Bạch truật:6|Can khương:5|Cam thảo:3|Đảng sâm:2
ViThongCanKhiPhamVi	Vị thống (Can khí phạm vị)	2	TieuHoa	Can khí uất kết phạm vị, làm vị khí nghịch và đau lan vùng thượng vị sườn.	Tôi hay bị đau tức vùng dạ dày rồi lan sang hai bên sườn, hễ tức giận hay lo nghĩ là bụng đau quặn lên.	Đau thượng vị lan sườn.|Hay ợ hơi ợ chua.	Đau tăng khi tức giận.	Hương phụ|Bạch thược|Trần bì|Xuyên khung	Hương phụ:6|Bạch thược:5|Trần bì:3|Xuyên khung:2
CanViBatHoa	Can vị bất hòa	2	TieuHoa	Can khí mất sơ tiết ảnh hưởng tới vị, khiến tiêu hóa rối loạn và khí cơ uất trệ.	Trong người tôi lúc nào cũng bứt rứt, ăn vào đầy bụng nghẹn ở cổ, hay cáu gắt và nôn ra nước đắng.	Ngực sườn đầy bứt rứt.|Hay cáu gắt.	Ăn vào đầy bụng.|Nôn ra nước đắng.	Hương phụ|Bạch thược|Trần bì|Uất kim	Hương phụ:6|Bạch thược:5|Trần bì:3|Uất kim:2
BiMan	Bĩ mãn	2	TieuHoa	Khí trệ, đàm thấp hoặc tỳ vị bất hòa làm vùng vị quản đầy ách nhưng chưa thành thực kết.	Vùng bụng trên dưới tim tôi cứ đầy ách nghẹn cứng khó chịu, nhưng sờ vào thì mềm chứ không đau.	Bụng trên đầy ách nghẹn cứng.|Sờ vào bụng thấy mềm không đau.	Ấm ách không muốn ăn.	Trần bì|Chỉ thực|Bạch truật|Bán hạ chế	Trần bì:6|Chỉ thực:5|Bạch truật:3|Bán hạ chế:2
TamQuyChinhXung	Tâm quý / Chính xung	2	TamMach	Tâm khí hoặc tâm huyết bất túc, thần không được nuôi dưỡng nên sinh hồi hộp bất an.	Dạo này tim tôi cứ đập thình thịch liên hồi trong lồng ngực, hay hoảng hốt lo sợ, rất dễ bị giật mình.	Tim đập thình thịch liên hồi.|Hay hoảng hốt lo sợ.	Dễ giật mình vô cớ.	Toan táo nhân|Long nhãn|Phục linh|Bạch thược	Toan táo nhân:6|Long nhãn:5|Phục linh:3|Bạch thược:2
